Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
AV4EV: Open-Source Modular Autonomous Electric Vehicle Platform for Making Mobility Research Accessible,Zhijie Qiao; Mingyan Zhou; Zhijun Zhuang; Tejas Agarwal; Felix Jahncke; Po-Jen Wang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588611,IEEE,1,autonomous vehicles advancements
Sensor Fusion Technology for Unmanned Autonomous Vehicles (UAV): A Review of Methods and Applications,Mohamad Haniff Harun; Shahrum Shah Abdullah; Mohd Shahrieel Mohd Aras; Mohd Bazli Bahar,2022,2022 IEEE 9th International Conference on Underwater System Technology: Theory and Applications (USYS),10.1109/USYS56283.2022.10072667,IEEE,5,autonomous vehicles advancements
Toward Fair and Thrilling Autonomous Racing: Governance Rules and Performance Metrics for the Autonomous One,"Bai Li; Yile Fang; Tian'ao Xu; Siji Ma
Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China
; Haorui Wang; Yazhou Wang",2023,"IEEE Transactions on Intelligent Vehicles ( Volume: 8, Issue: 8, August 2023) ",10.1109/TIV.2023.3298914,IEEE,4,autonomous vehicles advancements
AD-VILS: Implementation and Reliability Validation of Vehicle-in-the-Loop Simulation Platform for Evaluating Autonomous Driving Systems,Taeyoung Oh; Yunchul Ha; Dayeon Yoo; Jinwoo Yoo,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3492162,IEEE,0,autonomous vehicles advancements
Trajectory Planning and Control of Autonomous Vehicles for Static Vehicle Avoidance in Dynamic Traffic Environments,"Changhee Kim; Youngmin Yoon; Sangyoon Kim; Michael Jinsoo Yoo; Kyongsu Yi
Department of Mechanical Engineering, Seoul National University, Seoul, South Korea",2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3236816,IEEE,16,autonomous vehicles advancements
Exploring the Feasibility of Solar-Powered Autonomous Underwater Survey Vehicles for Extended Underwater Exploration,"Alan Bounyasith; Ben Mueller; Dongwoo Jin; Uday Patel; M. Hassan Tanveer; Matthew Marshall
Department of Robotics and Mechatronics Engineering, Kennesaw State University, Marietta, GA, USA",2024,SoutheastCon 2024,10.1109/SoutheastCon52093.2024.10500044,IEEE,0,autonomous vehicles advancements
Trajectory Prediction of Surrounding Vehicles for Autonomous Vehicle Using POMDP Method,"Junfeng Zhang; Guofeng Zhen; Hanjie Jia; Hanbing Wei
College of Mechatronics & Vehicle Engineering, Chongqing Jiaotong University, Chongqing, China",2022,"2022 2nd International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)",10.1109/CEI57409.2022.9950104,IEEE,3,autonomous vehicles advancements
Fuzzy Logic Control for energy saving in Autonomous Electric Vehicles,A. O. Al-Jazaeri; L. Samaranayake; S. Longo; D. J. Auger,2014,2014 IEEE International Electric Vehicle Conference (IEVC),10.1109/IEVC.2014.7056100,IEEE,12,autonomous vehicles advancements
Lateral control of an autonomous vehicle based on Pure Pursuit algorithm,"Dhanya S Lal; A Vivek; Gopinath Selvaraj
Research and Development, Embedded Product Design TATA ELXSI Ltd, Bengaluru, India",2017,2017 International Conference on Technological Advancements in Power and Energy ( TAP Energy),10.1109/TAPENERGY.2017.8397361,IEEE,11,autonomous vehicles advancements
Emerging Research in the Security of Modern and Autonomous Vehicles,Samir Tout; Munther Abualkibash; Pooja Patil,2018,2018 IEEE International Conference on Electro/Information Technology (EIT),10.1109/EIT.2018.8500204,IEEE,2,autonomous vehicles advancements
