Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
3D object detection algorithm based on multi-sensor segmental fusion of frustum association for autonomous driving,"Tao, C., Bian, W., Wang, C. et al.",2023,"Appl Intell 53, 22753–22774",https://doi.org/10.1007/s10489-023-04630-4,springer,1,autonomous vehicles sensor fusion
3DFFL: privacy-preserving Federated Few-Shot Learning for 3D point clouds in autonomous vehicles,"Khan, A.A., Ahmad, K.M., Shafiq, S. et al.",2024,"Sci Rep 14, 19589",https://doi.org/10.1038/s41598-024-70326-5,springer,0,autonomous vehicles advancements
A Comparison Study of Kinematic and Dynamic Models for Trajectory Tracking of Autonomous Vehicles Using Model Predictive Control,"Ye, BL., Niu, S., Li, L. et al.",2023,"Int. J. Control Autom. Syst. 21, 3006–3021",https://doi.org/10.1007/s12555-022-0337-8,springer,7,autonomous vehicles control
A dynamic lane-changing trajectory planning scheme for autonomous vehicles on structured road,Hanbing Jia; Lei Zhang; Zhenpo Wang,2020,2020 IEEE 9th International Power Electronics and Motion Control Conference (IPEMC2020-ECCE Asia),10.1109/IPEMC-ECCEAsia48364.2020.9367649,IEEE,2,autonomous vehicles planning
A Fault Tolerant Perception system for autonomous vehicles,Miguel Realpe; Boris X. Vintimilla; Ljubo Vlacic,2016,2016 35th Chinese Control Conference (CCC),10.1109/ChiCC.2016.7554385,google scholar,21,autonomous vehicles perception systems
A Finite Frequency Domain State Feedback H∞ Controller for Yaw Stabilization of Four-Wheel Independent Steering Autonomous Vehicles,Yuan Ma; Jiaqi Li; Xuewu Ji; Yahui Liu,2023,2023 7th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI59596.2023.10397240,IEEE,0,autonomous vehicles control
A flexible virtual environment for autonomous driving agent-human interaction testing,Giorgio M. Grasso; Giovanni d’Italia; Sebastiano Battiato,2020,2020 AEIT International Conference of Electrical and Electronic Technologies for Automotive (AEIT AUTOMOTIVE),10.23919/AEITAUTOMOTIVE50086.2020.9307438,IEEE,1,autonomous vehicles human–machine interaction
A Hidden Markov Framework to Capture Human–Machine Interaction in Automated Vehicles,"Christian P. Janssen
, Linda Ng Boyle
, Andrew L. Kun
, Wendy Ju
& Lewis L. Chuang",2019,"Volume 35, 2019 - Issue 11: Human-System Cooperation in Automated Driving ",https://doi.org/10.1080/10447318.2018.1561789,google scholar,19,autonomous vehicles human–machine interaction
A Human-Machine Interface for Cooperative Highly Automated Driving,???,2016, Advances in Human Aspects of Transportation,10.1007/978-3-319-41682-3_49,google scholar,38,autonomous vehicles human–machine interaction
A matched case-control analysis of autonomous vs human-driven vehicle accidents,"Abdel-Aty, M., Ding, S.",2024,"Nat Commun 15, 4931",https://doi.org/10.1038/s41467-024-48526-4,springer,205,autonomous vehicles advancements control
